product_name,skin_type,hair_concerns,allergies,price_range
Hydrating Face Cream,Dry,Dryness,Paraben-free,Medium
Anti-Hair Fall Serum,-,Thinning,Sulfate-free,High
Calming Skin Balm,Sensitive,-,Paraben-free,Low
Frizz Control Cream,Normal,Frizziness,None,High
Revitalizing Hair Serum,Oily,Dandruff,Sulfates,Low
Nourishing Face Oil,Dry,-,None,Medium
Clarifying Face Toner,Oily,-,Paraben-free,Medium
Herbal Repair Conditioner,-,Damage,Sulfate-free,High
Moisture Lock Cream,Sensitive,-,None,Low
Volume Boost Shampoo,-,Thinning,None,Low
Smoothening Leave-In Conditioner,Oily,Frizziness,Sulfate-free,Medium
Intense Repair Hair Mask,-,Damage,Paraben-free,High
Ultra-Light Face Gel,Normal,-,None,Low
Deep Repair Shampoo,-,Dryness,None,Medium
Anti-Frizz Hair Oil,Dry,Frizziness,None,Medium
Balancing Face Wash,Oily,-,Paraben-free,Low
Gentle Hydration Lotion,Sensitive,-,Sulfate-free,Low
Hair Revitalizing Spray,-,Thinning,Paraben-free,High
Rejuvenating Day Cream,Normal,-,Paraben-free,Medium
Damage Control Conditioner,-,Damage,Sulfate-free,High
